Player,True Salary,Predicted Salary,Disparity,Disparity Percentage
John Wall,47345760.0,11767382.228886392,-35578377.771113604,-75.1458584065682
Kemba Walker,37281261.0,4854229.363918468,-32427031.63608153,-86.97943890921913
Russell Westbrook,47559433.0,24032816.2796521,-23526616.7203479,-49.46782422815659
Khris Middleton,37948276.0,15135099.60561686,-22813176.39438314,-60.11650277441626
Kevin Love,32056968.0,10190624.613527656,-21866343.386472344,-68.21089064465593
Ben Simmons,35448672.0,14082338.135602813,-21366333.864397187,-60.274003676067714
Tobias Harris,37633050.0,17262959.26458769,-20370090.73541231,-54.12819512479672
Kyle Lowry,28333334.0,12024631.970636971,-16308702.029363029,-57.56012345516073
Rudy Gobert,38172414.0,22086782.321757954,-16085631.678242046,-42.13941428551531
Myles Turner,35069500.0,19215014.323252775,-15854485.676747225,-45.20875882675038
Michael Porter Jr.,30913750.0,15910844.83577434,-15002905.16422566,-48.53149541620043
Trae Young,37096500.0,23064365.363096368,-14032134.636903632,-37.82603382233805
Jonathan Isaac,17400000.0,3840717.927798023,-13559282.072201977,-77.9269084609309
Joe Harris,18642857.0,5623932.049620238,-13018924.950379763,-69.8333144452042
Luguentz Dort,15277778.0,2623430.527917018,-12654347.472082982,-82.82845497612927
Gordon Hayward,30075000.0,17492555.88673957,-12582444.11326043,-41.836888157141914
Evan Fournier,18000000.0,5680746.476657356,-12319253.523342643,-68.44029735190357
Andrew Wiggins,33616770.0,21300399.705606822,-12316370.294393178,-36.6375778945841
Bradley Beal,43279250.0,31313818.889571656,-11965431.110428344,-27.647038963078945
Al Horford,26500000.0,14614790.748294853,-11885209.251705147,-44.84984623284961
Nicolas Batum,19700319.0,7987078.649602634,-11713240.350397367,-59.45711006201152
Jamal Murray,31650600.0,20044419.4719869,-11606180.528013099,-36.669701452778455
John Collins,23500000.0,12049572.030276716,-11450427.969723284,-48.72522540307781
Duncan Robinson,16902000.0,5606192.982276712,-11295807.017723288,-66.83118576336106
Dāvis Bertāns,16000000.0,4779242.899726417,-11220757.100273583,-70.12973187670988
Klay Thompson,40600080.0,30059079.723976318,-10541000.276023682,-25.963003708425408
D'Angelo Russell,31377750.0,21399165.79904639,-9978584.20095361,-31.801465053911166
Malcolm Brogdon,22600000.0,12917469.584854227,-9682530.415145773,-42.84305493427333
Paul George,42492492.0,33011674.45004614,-9480817.54995386,-22.311747566967497
Derrick Rose,14520730.0,5166577.009353225,-9354152.990646776,-64.41930254640624
Draymond Green,25806468.0,16682703.881714944,-9123764.118285056,-35.354563508206766
Zach LaVine,37096500.0,28158575.094043236,-8937924.905956764,-24.093714786992745
Jaren Jackson Jr.,28946605.0,20038567.562484942,-8908037.437515058,-30.774031833837018
Eric Gordon,19568360.0,10694122.199112207,-8874237.800887793,-45.349931220029646
Will Barton,14807642.0,6193062.632398351,-8614579.367601648,-58.176577794098804
Kawhi Leonard,42492492.0,34171314.91651426,-8321177.083485737,-19.582699653119278
Danny Green,11710528.0,3434762.4819870493,-8275765.51801295,-70.66944819236973
Deandre Ayton,30913750.0,22722133.177886996,-8191616.822113004,-26.498295490236558
Luke Kennard,14415545.0,6332136.405523623,-8083408.594476377,-56.07424897550788
Karl-Anthony Towns,33833400.0,25753242.00473317,-8080157.995266829,-23.88219332158999
Luka Dončić,37096500.0,29223911.19920924,-7872588.800790761,-21.221917972829676
Marcus Morris,16372093.0,8705073.926157258,-7667019.073842742,-46.82980406868408
Talen Horton-Tucker,10260000.0,2645704.7552344045,-7614295.2447655955,-74.21340394508378
Doug McDermott,13750000.0,6211594.102089799,-7538405.897910201,-54.82477016661964
Richaun Holmes,11215260.0,3719900.2140365015,-7495359.785963498,-66.83179690852907
Tyus Jones,15000000.0,7726014.135807012,-7273985.864192988,-48.493239094619916
Caris LeVert,18796296.0,11669197.744674847,-7127098.2553251535,-37.91756767038119
Robert Covington,12307692.0,5229975.35147166,-7077716.64852834,-57.50644920695399
Pascal Siakam,35448672.0,28674693.986526225,-6773978.013473775,-19.10925750187137
Giannis Antetokounmpo,42492492.0,35791185.0307556,-6701306.969244398,-15.770567113937206
Derrick White,16892857.0,10270009.497357622,-6622847.502642378,-39.20501726050471
Devonte' Graham,11550000.0,5022176.236549417,-6527823.763450583,-56.51795466190981
Bogdan Bogdanović,18000000.0,11558900.898628913,-6441099.101371087,-35.78388389650604
Chris Boucher,12690000.0,6301010.505005072,-6388989.494994928,-50.34664692667398
