Player,Year,Salary,Tm
LeBron James,2023,"$44,474,988",LAL
Anthony Davis,2023,"$37,980,720",LAL
D'Angelo Russell,2023,"$31,377,750",LAL
Malik Beasley,2023,"$15,558,035",LAL
Mo Bamba,2023,"$10,300,000",LAL
Lonnie Walker IV,2023,"$6,479,000",LAL
Rui Hachimura,2023,"$6,263,188",LAL
Jarred Vanderbilt,2023,"$4,374,000",LAL
Wenyen Gabriel,2023,"$1,878,720",LAL
Dennis Schröder,2023,"$1,836,090",LAL
Troy Brown Jr.,2023,"$1,836,090",LAL
Austin Reaves,2023,"$1,563,518",LAL
Max Christie,2023,"$1,017,781",LAL
Shaquille Harrison,2023,,LAL
Scotty Pippen Jr.,2023,,LAL
Cole Swider,2023,,LAL
Tristan Thompson,2023,,LAL
,2023,,LAL
Davon Reed,2023,"$1,902,133",LAL
CJ McCollum,2023,"$33,333,333",NOP
Brandon Ingram,2023,"$31,650,600",NOP
Jonas Valančiūnas,2023,"$14,700,000",NOP
Zion Williamson,2023,"$13,534,817",NOP
Josh Richardson,2023,"$12,196,094",NOP
Larry Nance Jr.,2023,"$9,672,727",NOP
Jaxson Hayes,2023,"$6,803,012",NOP
Dyson Daniels,2023,"$5,508,600",NOP
Garrett Temple,2023,"$5,155,500",NOP
Kira Lewis Jr.,2023,"$4,004,280",NOP
Trey Murphy III,2023,"$3,206,520",NOP
Willy Hernangómez,2023,"$2,443,581",NOP
Herbert Jones,2023,"$1,785,000",NOP
Naji Marshall,2023,"$1,782,621",NOP
Jose Alvarado,2023,"$1,563,518",NOP
E.J. Liddell,2023,,NOP
Dereon Seabron,2023,,NOP
Jalen Brunson,2023,"$27,733,332",NYK
Julius Randle,2023,"$23,760,000",NYK
Evan Fournier,2023,"$18,000,000",NYK
Mitchell Robinson,2023,"$17,045,454",NYK
Derrick Rose,2023,"$14,520,730",NYK
Josh Hart,2023,"$12,960,000",NYK
RJ Barrett,2023,"$10,900,635",NYK
Isaiah Hartenstein,2023,"$7,804,879",NYK
Obi Toppin,2023,"$5,348,280",NYK
Immanuel Quickley,2023,"$2,316,240",NYK
Quentin Grimes,2023,"$2,277,000",NYK
Jericho Sims,2023,"$1,639,842",NYK
Miles McBride,2023,"$1,563,518",NYK
Isaiah Roby,2023,,NYK
Trevor Keels,2023,,NYK
DaQuan Jeffries,2023,,NYK
Duane Washington Jr.,2023,,NYK
Jalen Green,2023,"$9,441,840",HOU
Jabari Smith Jr.,2023,"$8,882,640",HOU
Jae'Sean Tate,2023,"$7,065,217",HOU
Boban Marjanović,2023,"$4,101,478",HOU
Alperen Şengün,2023,"$3,375,360",HOU
Tari Eason,2023,"$3,359,160",HOU
Kevin Porter Jr.,2023,"$3,217,631",HOU
