Season,Team,Lg,Salary,Player Link
2007-08,Detroit Pistons,NBA,"$944,520",/players/a/afflaar01.html
2008-09,Detroit Pistons,NBA,"$1,015,440",/players/a/afflaar01.html
2009-10,Denver Nuggets,NBA,"$1,086,240",/players/a/afflaar01.html
2010-11,Denver Nuggets,NBA,"$1,959,577",/players/a/afflaar01.html
2011-12,Denver Nuggets,NBA,"$7,562,500",/players/a/afflaar01.html
2012-13,Orlando Magic,NBA,"$7,750,000",/players/a/afflaar01.html
2013-14,Orlando Magic,NBA,"$7,312,500",/players/a/afflaar01.html
2014-15,Portland Trail Blazers,NBA,"$7,750,000",/players/a/afflaar01.html
2015-16,New York Knicks,NBA,"$8,000,000",/players/a/afflaar01.html
2016-17,Sacramento Kings,NBA,"$12,500,000",/players/a/afflaar01.html
2017-18,Sacramento Kings,NBA,"$1,500,000",/players/a/afflaar01.html
2017-18,Orlando Magic,NBA,"$1,471,382",/players/a/afflaar01.html
Career,(may be incomplete),,"$58,852,159",/players/a/afflaar01.html
2007-08,Detroit Pistons,NBA,"$944,520",/players/a/afflaar01.html
2008-09,Detroit Pistons,NBA,"$1,015,440",/players/a/afflaar01.html
2009-10,Denver Nuggets,NBA,"$1,086,240",/players/a/afflaar01.html
2010-11,Denver Nuggets,NBA,"$1,959,577",/players/a/afflaar01.html
2011-12,Denver Nuggets,NBA,"$7,562,500",/players/a/afflaar01.html
2012-13,Orlando Magic,NBA,"$7,750,000",/players/a/afflaar01.html
2013-14,Orlando Magic,NBA,"$7,312,500",/players/a/afflaar01.html
2014-15,Portland Trail Blazers,NBA,"$7,750,000",/players/a/afflaar01.html
2015-16,New York Knicks,NBA,"$8,000,000",/players/a/afflaar01.html
2016-17,Sacramento Kings,NBA,"$12,500,000",/players/a/afflaar01.html
2017-18,Sacramento Kings,NBA,"$1,500,000",/players/a/afflaar01.html
2017-18,Orlando Magic,NBA,"$1,471,382",/players/a/afflaar01.html
Career,(may be incomplete),,"$58,852,159",/players/a/afflaar01.html
2008-09,Charlotte Bobcats,NBA,"$1,276,320",/players/a/ajincal01.html
2009-10,Charlotte Bobcats,NBA,"$1,372,080",/players/a/ajincal01.html
2010-11,Toronto Raptors,NBA,"$1,467,840",/players/a/ajincal01.html
2014-15,New Orleans Pelicans,NBA,"$981,084",/players/a/ajincal01.html
2015-16,New Orleans Pelicans,NBA,"$4,300,000",/players/a/ajincal01.html
2016-17,New Orleans Pelicans,NBA,"$4,600,000",/players/a/ajincal01.html
2017-18,New Orleans Pelicans,NBA,"$4,961,798",/players/a/ajincal01.html
2018-19,Los Angeles Clippers,NBA,"$5,285,394",/players/a/ajincal01.html
Career,(may be incomplete),,"$24,244,516",/players/a/ajincal01.html
2008-09,Charlotte Bobcats,NBA,"$1,276,320",/players/a/ajincal01.html
2009-10,Charlotte Bobcats,NBA,"$1,372,080",/players/a/ajincal01.html
2010-11,Toronto Raptors,NBA,"$1,467,840",/players/a/ajincal01.html
2014-15,New Orleans Pelicans,NBA,"$981,084",/players/a/ajincal01.html
2015-16,New Orleans Pelicans,NBA,"$4,300,000",/players/a/ajincal01.html
2016-17,New Orleans Pelicans,NBA,"$4,600,000",/players/a/ajincal01.html
2017-18,New Orleans Pelicans,NBA,"$4,961,798",/players/a/ajincal01.html
2018-19,Los Angeles Clippers,NBA,"$5,285,394",/players/a/ajincal01.html
Career,(may be incomplete),,"$24,244,516",/players/a/ajincal01.html
2006-07,Portland Trail Blazers,NBA,"$4,027,320",/players/a/aldrila01.html
2007-08,Portland Trail Blazers,NBA,"$4,329,360",/players/a/aldrila01.html
2008-09,Portland Trail Blazers,NBA,"$4,631,400",/players/a/aldrila01.html
2009-10,Portland Trail Blazers,NBA,"$5,844,827",/players/a/aldrila01.html
2010-11,Portland Trail Blazers,NBA,"$11,244,000",/players/a/aldrila01.html
2011-12,Portland Trail Blazers,NBA,"$12,372,000",/players/a/aldrila01.html
2012-13,Portland Trail Blazers,NBA,"$13,500,000",/players/a/aldrila01.html
2013-14,Portland Trail Blazers,NBA,"$14,128,000",/players/a/aldrila01.html
2014-15,Portland Trail Blazers,NBA,"$16,006,000",/players/a/aldrila01.html
2015-16,San Antonio Spurs,NBA,"$19,500,000",/players/a/aldrila01.html
2016-17,San Antonio Spurs,NBA,"$20,575,005",/players/a/aldrila01.html
2017-18,San Antonio Spurs,NBA,"$21,461,010",/players/a/aldrila01.html
2018-19,San Antonio Spurs,NBA,"$22,347,015",/players/a/aldrila01.html
2019-20,San Antonio Spurs,NBA,"$26,000,000",/players/a/aldrila01.html
2020-21,San Antonio Spurs,NBA,"$16,750,000",/players/a/aldrila01.html
2020-21,Brooklyn Nets,NBA,"$554,988",/players/a/aldrila01.html
2021-22,Brooklyn Nets,NBA,"$2,641,691",/players/a/aldrila01.html
Career,(may be incomplete),,"$215,912,616",/players/a/aldrila01.html
2006-07,Portland Trail Blazers,NBA,"$4,027,320",/players/a/aldrila01.html
2007-08,Portland Trail Blazers,NBA,"$4,329,360",/players/a/aldrila01.html
2008-09,Portland Trail Blazers,NBA,"$4,631,400",/players/a/aldrila01.html
2009-10,Portland Trail Blazers,NBA,"$5,844,827",/players/a/aldrila01.html
2010-11,Portland Trail Blazers,NBA,"$11,244,000",/players/a/aldrila01.html
2011-12,Portland Trail Blazers,NBA,"$12,372,000",/players/a/aldrila01.html
2012-13,Portland Trail Blazers,NBA,"$13,500,000",/players/a/aldrila01.html
2013-14,Portland Trail Blazers,NBA,"$14,128,000",/players/a/aldrila01.html
2014-15,Portland Trail Blazers,NBA,"$16,006,000",/players/a/aldrila01.html
2015-16,San Antonio Spurs,NBA,"$19,500,000",/players/a/aldrila01.html
2016-17,San Antonio Spurs,NBA,"$20,575,005",/players/a/aldrila01.html
2017-18,San Antonio Spurs,NBA,"$21,461,010",/players/a/aldrila01.html
2018-19,San Antonio Spurs,NBA,"$22,347,015",/players/a/aldrila01.html
2019-20,San Antonio Spurs,NBA,"$26,000,000",/players/a/aldrila01.html
2020-21,San Antonio Spurs,NBA,"$16,750,000",/players/a/aldrila01.html
2020-21,Brooklyn Nets,NBA,"$554,988",/players/a/aldrila01.html
2021-22,Brooklyn Nets,NBA,"$2,641,691",/players/a/aldrila01.html
Career,(may be incomplete),,"$215,912,616",/players/a/aldrila01.html
2008-09,Milwaukee Bucks,NBA,"$2,403,120",/players/a/alexajo01.html
2009-10,Chicago Bulls,NBA,"$2,583,360",/players/a/alexajo01.html
2010-11,New Orleans Hornets,NBA,"$90,465",/players/a/alexajo01.html
Career,(may be incomplete),,"$5,076,945",/players/a/alexajo01.html
2008-09,Milwaukee Bucks,NBA,"$2,403,120",/players/a/alexajo01.html
2009-10,Chicago Bulls,NBA,"$2,583,360",/players/a/alexajo01.html
2010-11,New Orleans Hornets,NBA,"$90,465",/players/a/alexajo01.html
Career,(may be incomplete),,"$5,076,945",/players/a/alexajo01.html
2001-02,Miami Heat,NBA,"$332,817",/players/a/allenma01.html
2002-03,Miami Heat,NBA,"$512,435",/players/a/allenma01.html
2003-04,Miami Heat,NBA,"$1,510,000",/players/a/allenma01.html
2004-05,Miami Heat,NBA,"$1,950,625",/players/a/allenma01.html
2005-06,Chicago Bulls,NBA,"$1,670,000",/players/a/allenma01.html
2006-07,Chicago Bulls,NBA,"$1,803,600",/players/a/allenma01.html
2007-08,Dallas Mavericks,NBA,"$998,398",/players/a/allenma01.html
2008-09,Milwaukee Bucks,NBA,"$1,300,000",/players/a/allenma01.html
2009-10,Denver Nuggets,NBA,"$1,300,000",/players/a/allenma01.html
2010-11,Orlando Magic,NBA,"$1,229,255",/players/a/allenma01.html
Career,(may be incomplete),,"$12,607,130",/players/a/allenma01.html
2001-02,Miami Heat,NBA,"$332,817",/players/a/allenma01.html
2002-03,Miami Heat,NBA,"$512,435",/players/a/allenma01.html
2003-04,Miami Heat,NBA,"$1,510,000",/players/a/allenma01.html
